Date,THY,AKBANK,TURKCELL
5/06/2017,0.02063275,-0.005175889,-0.015522865
6/06/2017,0.009433921,0.002081177,-0.001659571
7/06/2017,-0.009345754,-0.007268928,-0.014962505
8/06/2017,-0.0121294,-0.005230154,0.006750989
9/06/2017,0.008185531,0.010515241,0.009220392
12/06/2017,-0.001353146,0.018730528,0.005813815
13/06/2017,-0.009485118,0.001021456,0.009083562
14/06/2017,0.017783874,0.00612236,-0.014729972
15/06/2017,-0.010752678,-0.010141922,-0.016007585
16/06/2017,-0.012228281,-0.001024596,-0.002631427
19/06/2017,0.024759261,0.026666688,0.00967417
20/06/2017,-0.005369123,-0.003996025,-0.00087066
21/06/2017,0.005398106,0.001003134,-0.000871974
22/06/2017,0.020134242,0.008015955,0.007853504
23/06/2017,0.022368431,-0.011928375,0.005194614
26/06/2017,0,0,0
27/06/2017,0,0,0
28/06/2017,0.028314001,0.004024166,-0.00430653
29/06/2017,-0.022528139,-0.009018083,-0.000864965
30/06/2017,0.030729866,-0.009100149,0.002597472
3/07/2017,0.001242264,0.003061241,0.007771899
4/07/2017,0.035980142,0.01627667,-0.002570654
5/07/2017,-0.014371357,-0.013013083,0.00515445
6/07/2017,0.009720642,0.00709943,0.007692516
7/07/2017,0.008423549,-0.007049383,-0.01526737
10/07/2017,0.0346062,0.005071142,0.008613388
11/07/2017,-0.005767035,0.0343086,0.00426997
12/07/2017,-0.002320128,0.012682996,0.005101961
13/07/2017,0.018604633,-0.015414227,0.000845723
14/07/2017,0.007990833,0.015655545,0.005072097
17/07/2017,0.012457492,0.013487434,0.016820883
18/07/2017,-0.008948538,-0.013307944,0
19/07/2017,0.011286725,0.021194605,0.011579814
20/07/2017,-0.024553601,-0.013207506,0.004088314
21/07/2017,0.011441692,-0.003824112,-0.002442855
24/07/2017,0,-0.001919396,0.001632489
25/07/2017,-0.00565613,-0.002884631,0.030154833
26/07/2017,-0.011376608,0.005785952,0.008702464
27/07/2017,0.01035675,0.009587779,0.029803929
28/07/2017,-0.013667413,-0.011396072,-0.006092888
31/07/2017,0.019630494,0.0048031,-0.014559293
1/08/2017,-0.021517506,-0.013384393,-0.029548993
2/08/2017,0.002314757,0.006782982,-0.007211733
3/08/2017,0.001154761,-0.001924938,0.017756326
4/08/2017,0.023068029,0.018322067,0.000793043
